Job,Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,0,400184,388664,AlPatch_1_1,9340.6360612233,9340.7269820161
0,0,400183,388664,AlPatch_1_1,9340.6360612233,9340.7323994154
0,0,400398,376623,AlPatch_1_0,6309.9626657691,6310.0524691288
0,0,400397,376623,AlPatch_1_0,6309.9626657691,6310.0630841238
0,0,400436,373378,AlPatch_2_0,2795.6641198238,2795.7522316581
0,0,400435,373378,AlPatch_2_0,2795.6641198238,2795.7514666365
0,0,400600,362649,AlPatch_2_0,719.54491443598,719.6357559854
0,0,400599,362649,AlPatch_2_0,719.54491443598,719.63322516912
0,0,400892,344668,AlPatch_1_0,12956.500161421,12956.592593833
0,0,400891,344668,AlPatch_1_0,12956.500161421,12956.594173323
0,0,400930,342673,AlPatch_2_1,8988.0377793023,8988.1268554897
0,0,400929,342673,AlPatch_2_1,8988.0377793023,8988.1376790195
0,0,401158,330759,AlPatch_0_0,14600.132722707,14600.234987802
0,0,401157,330759,AlPatch_0_0,14600.132722707,14600.220407049
0,0,401600,304740,AlPatch_1_1,10592.921037278,10593.012939883
0,0,401599,304740,AlPatch_1_1,10592.921037278,10593.017148549
0,0,401768,293099,AlPatch_2_1,767.2610750668,767.34794557618
0,0,401767,293099,AlPatch_2_1,767.2610750668,767.34759120261
0,0,401842,288500,AlPatch_2_0,5542.0739784251,5542.1663683413
0,0,401841,288500,AlPatch_2_0,5542.0739784251,5542.1675801568
0,0,402240,261515,AlPatch_2_0,633.2126413727,633.30016773178
0,0,402239,261515,AlPatch_2_0,633.2126413727,633.30438112896
0,0,402460,249114,AlPatch_0_0,4450.1986927447,4450.29689584
0,0,402459,249114,AlPatch_0_0,4450.1986927447,4450.2986560545
0,0,402512,245512,AlPatch_1_0,9643.5273498015,9643.6220929885
0,0,402511,245512,AlPatch_1_0,9643.5273498015,9643.6202612496
0,0,402534,244725,AlPatch_0_1,2468.3264529932,2468.4130409106
0,0,402533,244725,AlPatch_0_1,2468.3264529932,2468.4131322884
0,0,402632,238884,AlPatch_1_0,2987.0146672931,2987.1049486747
0,0,402631,238884,AlPatch_1_0,2987.0146672931,2987.1118606975
0,0,402706,234837,AlPatch_2_0,4026.4823402531,4026.5700988519
0,0,402705,234837,AlPatch_2_0,4026.4823402531,4026.5796774808
0,0,402776,230605,AlPatch_1_1,10226.097876655,10226.199124252
0,0,402775,230605,AlPatch_1_1,10226.097876655,10226.186854782
0,0,402780,230201,AlPatch_2_0,678.61421979706,678.7144471429
0,0,402779,230201,AlPatch_2_0,678.61421979706,678.70228235978
0,0,402838,226085,AlPatch_0_1,11963.442477815,11963.54709702
0,0,402837,226085,AlPatch_0_1,11963.442477815,11963.528098224
0,0,402848,225498,AlPatch_2_0,10355.526082939,10355.617701975
0,0,402847,225498,AlPatch_2_0,10355.526082939,10355.620825526
0,0,402858,225056,AlPatch_2_0,770.36821572599,770.47367039213
0,0,402857,225056,AlPatch_2_0,770.36821572599,770.45412137642
0,0,403470,188098,AlPatch_2_0,865.87975640714,865.97870665141
0,0,403469,188098,AlPatch_2_0,865.87975640714,865.97476335869
0,0,403572,182378,AlPatch_2_0,17699.889376553,17699.982289534
0,0,403571,182378,AlPatch_2_0,17699.889376553,17699.977262306
0,0,403620,180127,AlPatch_2_1,15545.377712642,15545.463181894
0,0,403619,180127,AlPatch_2_1,15545.377712642,15545.463426445
0,0,403818,167859,AlPatch_0_0,8818.4499185365,8818.5378468747
0,0,403817,167859,AlPatch_0_0,8818.4499185365,8818.550263388
0,0,404604,119689,AlPatch_0_0,8723.2962187424,8723.3909267375
0,0,404603,119689,AlPatch_0_0,8723.2962187424,8723.3858832492
0,0,404620,119079,AlPatch_2_0,4009.7748704401,4009.8612784528
0,0,404619,119079,AlPatch_2_0,4009.7748704401,4009.862284474
0,0,404630,118643,AlPatch_2_0,8308.2416917154,8308.3370914951
0,0,404629,118643,AlPatch_2_0,8308.2416917154,8308.336268467
0,0,404674,115618,AlPatch_1_0,895.6606098297,895.74669046117
0,0,404673,115618,AlPatch_1_0,895.6606098297,895.74738382052
0,0,404704,114565,AlPatch_1_1,7045.9101805666,7046.0077258056
0,0,404703,114565,AlPatch_1_1,7045.9101805666,7046.0051029621
0,0,404724,113720,AlPatch_2_0,677.4808004541,677.58305112338
0,0,404723,113720,AlPatch_2_0,677.4808004541,677.56992825706
0,0,405136,90745,AlPatch_2_0,255.50984291257,255.6063375212
0,0,405135,90745,AlPatch_2_0,255.50984291257,255.60136261663
0,0,405162,89369,AlPatch_2_1,1721.1893352914,1721.2768494463
0,0,405161,89369,AlPatch_2_1,1721.1893352914,1721.2946524793
0,0,406192,27866,AlPatch_2_1,11371.149930513,11371.252002941
0,0,406191,27866,AlPatch_2_1,11371.149930513,11371.240853705
0,0,406196,27491,AlPatch_0_0,9578.1902783955,9578.2797101784
0,0,406195,27491,AlPatch_0_0,9578.1902783955,9578.2910342576
0,0,406552,5049,AlPatch_2_0,256.33886429365,256.43211796315
0,0,406551,5049,AlPatch_2_0,256.33886429365,256.43902231773
10,0,400534,362150,AlPatch_2_0,3563.183746928,3563.2814508844
10,0,400533,362150,AlPatch_2_0,3563.183746928,3563.2735137071
10,0,400582,360110,AlPatch_1_1,4968.817584228,4968.9193354327
10,0,400581,360110,AlPatch_1_1,4968.817584228,4968.904978345
10,0,400724,352619,AlPatch_2_1,1326.8656917555,1326.9601756812
10,0,400723,352619,AlPatch_2_1,1326.8656917555,1326.9628711619
10,0,400906,341643,AlPatch_2_0,828.93826468111,829.03542849948
10,0,400905,341643,AlPatch_2_0,828.93826468111,829.02890712561
10,0,401014,333490,AlPatch_0_0,13898.601634086,13898.689527797
10,0,401013,333490,AlPatch_0_0,13898.601634086,13898.689698523
10,0,401198,321954,AlPatch_0_1,8677.8460657701,8677.9344334579
10,0,401197,321954,AlPatch_0_1,8677.8460657701,8677.9440891458
10,0,401320,314710,AlPatch_2_0,2504.6327886522,2504.7196745389
10,0,401319,314710,AlPatch_2_0,2504.6327886522,2504.7278448678
10,0,401332,314196,AlPatch_2_0,244.58513072728,244.67792713305
10,0,401331,314196,AlPatch_2_0,244.58513072728,244.68108584921
10,0,401386,310433,AlPatch_1_1,12313.643921313,12313.738453183
10,0,401385,310433,AlPatch_1_1,12313.643921313,12313.734987975
10,0,401498,304228,AlPatch_2_0,658.40889990126,658.50218812438
10,0,401497,304228,AlPatch_2_0,658.40889990126,658.50127496344
10,0,401508,303666,AlPatch_0_0,9898.9787462299,9899.0758133999
10,0,401507,303666,AlPatch_0_0,9898.9787462299,9899.0753617786
10,0,401958,281772,AlPatch_1_1,12741.313433133,12741.402944054
10,0,401957,281772,AlPatch_1_1,12741.313433133,12741.401179916
10,0,401984,280503,AlPatch_0_0,13182.335725721,13182.433092276
10,0,401983,280503,AlPatch_0_0,13182.335725721,13182.426160339
10,0,402332,259240,AlPatch_0_0,6442.078362891,6442.1711214232
10,0,402331,259240,AlPatch_0_0,6442.078362891,6442.1723644072
10,0,402708,236905,AlPatch_1_1,9015.4188364131,9015.5112727108
10,0,402707,236905,AlPatch_1_1,9015.4188364131,9015.5148792811
10,0,403062,216295,AlPatch_1_0,13586.246053942,13586.339600671
10,0,403061,216295,AlPatch_1_0,13586.246053942,13586.347267174
10,0,403498,188513,AlPatch_2_0,3202.8453046231,3202.9412060526
10,0,403497,188513,AlPatch_2_0,3202.8453046231,3202.9334641428
10,0,403976,157480,AlPatch_0_0,9296.766489217,9296.8702574257
10,0,403975,157480,AlPatch_0_0,9296.766489217,9296.8520178395
10,0,403998,156167,AlPatch_0_0,4659.7017128153,4659.7872357476
10,0,403997,156167,AlPatch_0_0,4659.7017128153,4659.7934617953
10,0,404256,138606,AlPatch_0_0,7722.8548111803,7722.9433176068
10,0,404255,138606,AlPatch_0_0,7722.8548111803,7722.9435733087
