Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,400012,398949,AlPatch_1_0,7788.669273569,7788.7596123685
0,400011,398949,AlPatch_1_0,7788.669273569,7788.7553115493
0,401320,322812,AlPatch_0_0,5672.9046650684,5673.006650294
0,401319,322812,AlPatch_0_0,5672.9046650684,5673.0000715968
0,401908,290121,AlPatch_0_0,13356.411083793,13356.505833054
0,401907,290121,AlPatch_0_0,13356.411083793,13356.50509031
0,402480,258195,AlPatch_2_1,2789.8626012218,2789.9543722215
0,402479,258195,AlPatch_2_1,2789.8626012218,2789.956097976
0,402622,250100,AlPatch_1_0,1886.8285285425,1886.9336696389
0,402621,250100,AlPatch_1_0,1886.8285285425,1886.9294659942
0,402794,241528,AlPatch_2_1,19638.188812892,19638.286260084
0,402793,241528,AlPatch_2_1,19638.188812892,19638.285832037
0,402800,241371,AlPatch_1_1,8113.1281322502,8113.2212340675
0,402799,241371,AlPatch_1_1,8113.1281322502,8113.2211076504
0,402898,236005,AlPatch_2_0,8390.2230904367,8390.3128226175
0,402897,236005,AlPatch_2_0,8390.2230904367,8390.313271251
0,402966,230779,AlPatch_2_1,1616.6188476708,1616.7151052737
0,402965,230779,AlPatch_2_1,1616.6188476708,1616.7109010932
0,403026,225927,AlPatch_2_1,16683.030319721,16683.12188115
0,403025,225927,AlPatch_2_1,16683.030319721,16683.124845252
0,403114,220712,AlPatch_1_0,19870.312242271,19870.409091586
0,403113,220712,AlPatch_1_0,19870.312242271,19870.406035353
0,403160,218724,AlPatch_2_0,9901.2597937703,9901.3578650832
0,403159,218724,AlPatch_2_0,9901.2597937703,9901.3510810673
0,403324,209376,AlPatch_2_0,8457.5556994654,8457.6430125137
0,403323,209376,AlPatch_2_0,8457.5556994654,8457.6482745005
0,404066,169857,AlPatch_0_1,8606.3121299784,8606.3980693666
0,404065,169857,AlPatch_0_1,8606.3121299784,8606.402963903
0,404124,166796,AlPatch_2_1,16724.858136918,16724.957439941
0,404123,166796,AlPatch_2_1,16724.858136918,16724.953645908
0,404802,128452,AlPatch_1_0,6852.2647891026,6852.3636086174
0,404801,128452,AlPatch_1_0,6852.2647891026,6852.3589245335
0,404920,121046,AlPatch_1_1,2387.8926831175,2387.9871782917
0,404919,121046,AlPatch_1_1,2387.8926831175,2387.9944767407
0,404956,118313,AlPatch_0_0,3739.1411611102,3739.2355405812
0,404955,118313,AlPatch_0_0,3739.1411611102,3739.2360908026
0,405172,105345,AlPatch_2_1,7295.6870560046,7295.7805200663
0,405171,105345,AlPatch_2_1,7295.6870560046,7295.7842907467
0,405396,90443,AlPatch_2_0,3198.5467319789,3198.641362467
0,405395,90443,AlPatch_2_0,3198.5467319789,3198.6346148891
0,405552,81348,AlPatch_0_1,4558.8532708247,4558.9561139311
0,405551,81348,AlPatch_0_1,4558.8532708247,4558.9386458023
0,405696,70780,AlPatch_0_1,15656.312930877,15656.40166326
0,405695,70780,AlPatch_0_1,15656.312930877,15656.401361728
0,405772,67341,AlPatch_0_1,4211.7340906096,4211.8256718702
0,405771,67341,AlPatch_0_1,4211.7340906096,4211.8331392831
