Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,62566,61447,AlPatch_2_0,54095.456222406,54095.544819214
0,62565,61447,AlPatch_2_0,54095.456222406,54095.545447922
0,62622,60277,AlPatch_0_1,14343.335973568,14343.423820884
0,62621,60277,AlPatch_0_1,14343.335973568,14343.429782241
0,63122,48849,AlPatch_0_0,28070.178652698,28070.26801057
0,63121,48849,AlPatch_0_0,28070.178652698,28070.27799152
0,63402,42680,AlPatch_1_1,17646.877060251,17646.973182833
0,63401,42680,AlPatch_1_1,17646.877060251,17646.968946787
0,63434,41788,AlPatch_2_1,41476.432899105,41476.527279533
0,63433,41788,AlPatch_2_1,41476.432899105,41476.527787833
0,64008,29185,AlPatch_1_0,8786.3834024181,8786.469504203
0,64007,29185,AlPatch_1_0,8786.3834024181,8786.4910707615
0,64264,23258,AlPatch_2_1,15585.227140207,15585.324052474
0,64263,23258,AlPatch_2_1,15585.227140207,15585.324204197
0,64546,17299,AlPatch_2_0,48577.345857514,48577.447477656
0,64545,17299,AlPatch_2_0,48577.345857514,48577.434553641
0,64960,7736,AlPatch_2_0,252.66637004666,252.76014638411
0,64959,7736,AlPatch_2_0,252.66637004666,252.76423833144
