Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,31252,31250,AlPatch_2_0,0.01472296984512,0.10968211743296
0,31251,31250,AlPatch_2_0,0.01472296984512,0.11191887116373
0,31254,31249,AlPatch_2_0,0.086493814094048,0.17989411660646
0,31253,31249,AlPatch_2_0,0.086493814094048,0.1823750278119
0,31256,31248,AlPatch_2_0,0.11173883246117,0.20695583006689
0,31255,31248,AlPatch_2_0,0.11173883246117,0.20676058680261
0,31260,31243,AlPatch_2_0,0.074412059701226,0.17033681846328
0,31259,31243,AlPatch_2_0,0.074412059701226,0.16899346471049
0,31262,31241,AlPatch_2_0,0.048727434696842,0.14425408283629
0,31261,31241,AlPatch_2_0,0.048727434696842,0.14376513772768
0,31264,31238,AlPatch_2_0,0.036245676310116,0.13030967602692
0,31263,31238,AlPatch_2_0,0.036245676310116,0.1303391881637
0,31266,31233,AlPatch_2_0,0.1210051126546,0.21663867501772
0,31265,31233,AlPatch_2_0,0.1210051126546,0.21690282589912
0,31268,31232,AlPatch_2_0,0.0045705732926077,0.099222556301907
0,31267,31232,AlPatch_2_0,0.0045705732926077,0.099008452898325
0,31270,31231,AlPatch_2_0,0.0088512584974814,0.10442470453951
0,31269,31231,AlPatch_2_0,0.0088512584974814,0.10294100402192
0,31272,31230,AlPatch_2_0,0.068462726463084,0.16210236230778
0,31271,31230,AlPatch_2_0,0.068462726463084,0.1624403552128
0,31274,31225,AlPatch_2_0,0.035057876256656,0.12917093160715
0,31273,31225,AlPatch_2_0,0.035057876256656,0.12946723561851
0,31276,31224,AlPatch_2_0,0.0098581776858847,0.10402251658112
0,31275,31224,AlPatch_2_0,0.0098581776858847,0.10403926230386
0,31278,31219,AlPatch_2_0,0.54247692099706,0.63433292022989
0,31277,31219,AlPatch_2_0,0.54247692099706,0.63802249145024
0,31280,31218,AlPatch_2_0,0.50623722477173,0.60219381486746
0,31279,31218,AlPatch_2_0,0.50623722477173,0.60233385573139
0,31282,31215,AlPatch_2_0,0.10310384920171,0.19712741852282
0,31281,31215,AlPatch_2_0,0.10310384920171,0.2004186082261
0,31284,31212,AlPatch_2_0,0.06631307812622,0.16289585361505
0,31283,31212,AlPatch_2_0,0.06631307812622,0.16019529402852
0,31286,31208,AlPatch_2_0,0.19950957157811,0.29425502716408
0,31285,31208,AlPatch_2_0,0.19950957157811,0.29564787101603
0,31288,31207,AlPatch_2_0,0.081150400477301,0.1758272396291
0,31287,31207,AlPatch_2_0,0.081150400477301,0.1761530070258
0,31290,31205,AlPatch_2_0,0.098007748443267,0.19287436284812
0,31289,31205,AlPatch_2_0,0.098007748443267,0.19268932600712
0,31292,31203,AlPatch_2_0,0.073922254730195,0.16772373834811
0,31291,31203,AlPatch_2_0,0.073922254730195,0.16874210424378
0,31294,31201,AlPatch_2_0,0.077129607939828,0.17379117116735
0,31293,31201,AlPatch_2_0,0.077129607939828,0.17100490155389
0,31296,31199,AlPatch_2_0,0.073897881712507,0.1684906599868
0,31295,31199,AlPatch_2_0,0.073897881712507,0.16789276035097
0,31298,31197,AlPatch_2_0,0.076872352860688,0.17143796366552
0,31297,31197,AlPatch_2_0,0.076872352860688,0.1714237095918
0,31300,31193,AlPatch_2_0,0.24015132048312,0.33433042922933
0,31299,31193,AlPatch_2_0,0.24015132048312,0.33619782319485
0,31302,31191,AlPatch_2_0,0.039927677448144,0.13504915500709
0,31301,31191,AlPatch_2_0,0.039927677448144,0.13413007486748
0,31304,31190,AlPatch_2_0,0.28351124176929,0.38164303518898
0,31303,31190,AlPatch_2_0,0.28351124176929,0.37940803319326
0,31306,31189,AlPatch_2_0,0.050997213882986,0.14502798775122
0,31305,31189,AlPatch_2_0,0.050997213882986,0.14597554824372
0,31308,31185,AlPatch_2_0,0.056749481160703,0.15236547713572
0,31307,31185,AlPatch_2_0,0.056749481160703,0.15102636112828
0,31310,31183,AlPatch_2_0,0.20204468224221,0.30005589135341
0,31309,31183,AlPatch_2_0,0.20204468224221,0.295532930441
0,31312,31181,AlPatch_2_0,0.026537903365529,0.12213355217421
