Job,Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,0,250012,249542,AlPatch_0_1,10537.033427566,10537.131137535
0,0,250011,249542,AlPatch_0_1,10537.033427566,10537.121472286
0,0,250066,246470,AlPatch_1_1,7768.5712455304,7768.6735645679
0,0,250065,246470,AlPatch_1_1,7768.5712455304,7768.6567451343
0,0,250396,226649,AlPatch_2_0,1085.8743495317,1085.9634291357
0,0,250395,226649,AlPatch_2_0,1085.8743495317,1085.9610142305
0,0,250456,222917,AlPatch_2_0,2795.7703715146,2795.8588167425
0,0,250455,222917,AlPatch_2_0,2795.7703715146,2795.8580013199
0,0,250612,213572,AlPatch_1_0,2896.457735387,2896.5435054339
0,0,250611,213572,AlPatch_1_0,2896.457735387,2896.5600639532
0,0,250894,195035,AlPatch_2_1,8335.0853226628,8335.1826623319
0,0,250893,195035,AlPatch_2_1,8335.0853226628,8335.1821531707
0,0,251454,161764,AlPatch_2_0,21930.938049735,21931.035165911
0,0,251453,161764,AlPatch_2_0,21930.938049735,21931.031471948
0,0,251664,149504,AlPatch_2_1,1431.408216125,1431.4974716768
0,0,251663,149504,AlPatch_2_1,1431.408216125,1431.5003589045
0,0,251864,134992,AlPatch_2_0,1507.3106865468,1507.3975138744
0,0,251863,134992,AlPatch_2_0,1507.3106865468,1507.3977248249
0,0,252270,113374,AlPatch_1_1,9855.8344137334,9855.9267399315
0,0,252269,113374,AlPatch_1_1,9855.8344137334,9855.9294134773
0,0,252416,103187,AlPatch_2_0,2536.0493283555,2536.1522912539
0,0,252415,103187,AlPatch_2_0,2536.0493283555,2536.1390728078
0,0,252548,95859,AlPatch_1_0,16276.354379574,16276.442424898
0,0,252547,95859,AlPatch_1_0,16276.354379574,16276.442881805
0,0,252714,86440,AlPatch_0_0,14708.401940536,14708.489491273
0,0,252713,86440,AlPatch_0_0,14708.401940536,14708.499586029
0,0,252892,75769,AlPatch_0_1,11963.691496266,11963.78045735
0,0,252891,75769,AlPatch_0_1,11963.691496266,11963.779515916
0,0,253198,57517,AlPatch_1_1,9372.5964222019,9372.6850630537
0,0,253197,57517,AlPatch_1_1,9372.5964222019,9372.6849599836
0,0,253458,43115,AlPatch_1_0,5937.6513618012,5937.751689886
0,0,253457,43115,AlPatch_1_0,5937.6513618012,5937.7532178368
0,0,253502,40663,AlPatch_1_1,6313.0055978233,6313.0995015719
0,0,253501,40663,AlPatch_1_1,6313.0055978233,6313.1038912367
0,0,253554,37275,AlPatch_1_1,7692.0744191861,7692.1631526923
0,0,253553,37275,AlPatch_1_1,7692.0744191861,7692.1635275361
0,0,253734,28594,AlPatch_0_1,13626.40175115,13626.487747916
0,0,253733,28594,AlPatch_0_1,13626.40175115,13626.503874597
0,0,253820,23683,AlPatch_2_1,460.31746006411,460.40832206677
0,0,253819,23683,AlPatch_2_1,460.31746006411,460.41770559889
0,0,253894,19218,AlPatch_2_0,10933.67595821,10933.762975282
0,0,253893,19218,AlPatch_2_0,10933.67595821,10933.762494366
0,0,253926,17309,AlPatch_0_0,8818.4026256209,8818.491779249
0,0,253925,17309,AlPatch_0_0,8818.4026256209,8818.5030741217
0,0,253968,15405,AlPatch_2_1,13982.790290423,13982.876256523
0,0,253967,15405,AlPatch_2_1,13982.790290423,13982.893234023
0,0,254168,3264,AlPatch_0_1,21799.770364094,21799.856718758
0,0,254167,3264,AlPatch_0_1,21799.770364094,21799.85723497
10,0,250116,244379,AlPatch_1_1,19080.324237804,19080.425547206
10,0,250115,244379,AlPatch_1_1,19080.324237804,19080.419250064
10,0,250206,238265,AlPatch_1_1,13377.968310532,13378.06677914
10,0,250205,238265,AlPatch_1_1,13377.968310532,13378.05942294
10,0,250300,232610,AlPatch_2_1,16654.604626125,16654.69514035
10,0,250299,232610,AlPatch_2_1,16654.604626125,16654.69781677
10,0,250628,211276,AlPatch_2_0,3563.0587299252,3563.1573397392
10,0,250627,211276,AlPatch_2_0,3563.0587299252,3563.14852564
10,0,250634,211234,AlPatch_1_0,747.34930849292,747.43626568874
10,0,250633,211234,AlPatch_1_0,747.34930849292,747.45135072078
10,0,250746,204156,AlPatch_2_1,675.26963811352,675.35768103219
10,0,250745,204156,AlPatch_2_1,675.26963811351,675.35865137406
10,0,250928,192259,AlPatch_2_0,3955.0865893498,3955.1856688108
10,0,250927,192259,AlPatch_2_0,3955.0865893498,3955.1799876175
10,0,251186,175919,AlPatch_2_1,3666.6954252341,3666.7818013367
10,0,251185,175919,AlPatch_2_1,3666.6954252341,3666.7814954211
10,0,251418,163940,AlPatch_2_0,2516.0711272506,2516.1674108139
10,0,251417,163940,AlPatch_2_0,2516.0711272506,2516.161192273
10,0,251642,151347,AlPatch_2_0,9257.4728476226,9257.5678634173
10,0,251641,151347,AlPatch_2_0,9257.4728476226,9257.5762566206
10,0,251938,136189,AlPatch_1_1,5463.8960971765,5463.9874376004
10,0,251937,136189,AlPatch_1_1,5463.8960971765,5463.9890491578
10,0,252074,129659,AlPatch_1_0,7255.6328301264,7255.7245349469
10,0,252073,129659,AlPatch_1_0,7255.6328301264,7255.7232454763
10,0,252098,128079,AlPatch_1_0,6378.2895298141,6378.3757976889
10,0,252097,128079,AlPatch_1_0,6378.2895298141,6378.390991149
10,0,252112,126979,AlPatch_0_1,10025.625151351,10025.724499434
10,0,252111,126979,AlPatch_0_1,10025.625151351,10025.716792194
10,0,253000,71257,AlPatch_2_1,16506.290110559,16506.376503363
10,0,252999,71257,AlPatch_2_1,16506.290110559,16506.376482709
10,0,253212,60033,AlPatch_1_0,14415.840378286,14415.926615916
10,0,253211,60033,AlPatch_1_0,14415.840378286,14415.92689532
10,0,253250,57070,AlPatch_0_0,5119.9463768658,5120.0366589741
10,0,253249,57070,AlPatch_0_0,5119.9463768658,5120.0464045242
10,0,253372,48679,AlPatch_2_1,3915.8943641186,3915.9807448556
10,0,253371,48679,AlPatch_2_1,3915.8943641186,3915.9911409774
10,0,253562,37753,AlPatch_2_0,3202.4554035143,3202.5476572728
10,0,253561,37753,AlPatch_2_0,3202.4554035143,3202.5425756552
10,0,253634,33139,AlPatch_2_0,8747.3965454895,8747.4940233857
10,0,253633,33139,AlPatch_2_0,8747.3965454895,8747.4868819199
10,0,253844,18121,AlPatch_2_0,15890.372011981,15890.468603379
10,0,253843,18121,AlPatch_2_0,15890.372011981,15890.470120061
10,0,254088,2950,AlPatch_0_1,4446.6168290514,4446.7104439831
10,0,254087,2950,AlPatch_0_1,4446.6168290514,4446.712545651
11,0,250070,246029,AlPatch_2_0,249.95198580701,250.0477105875
11,0,250069,246029,AlPatch_2_0,249.95198580701,250.0508224834
11,0,250274,234503,AlPatch_0_0,12594.755234725,12594.853394938
11,0,250273,234503,AlPatch_0_0,12594.755234725,12594.845739365
11,0,250812,203985,AlPatch_0_0,5154.1133391683,5154.2043424788
11,0,250811,203985,AlPatch_0_0,5154.1133391683,5154.207215286
11,0,250884,199577,AlPatch_2_1,20022.032390244,20022.123831743
11,0,250883,199577,AlPatch_2_1,20022.032390244,20022.130689499
11,0,251042,190244,AlPatch_2_0,250.95157850117,251.04896027429
11,0,251041,190244,AlPatch_2_0,250.95157850117,251.04484844307
11,0,251482,161756,AlPatch_0_0,16600.859853504,16600.952239941
11,0,251481,161756,AlPatch_0_0,16600.859853504,16600.963809067
11,0,251762,143748,AlPatch_0_1,7474.6964077161,7474.7870817627
11,0,251761,143748,AlPatch_0_1,7474.6964077161,7474.792422457
11,0,251770,143577,AlPatch_2_0,254.43118911989,254.52210559838
11,0,251769,143577,AlPatch_2_0,254.43118911989,254.52952441794
11,0,251820,140986,AlPatch_2_0,3623.0337612339,3623.1243170053
