Job,Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,0,31256,30954,AlPatch_2_1,14606.241342583,14606.339543137
0,0,31255,30954,AlPatch_2_1,14606.241342583,14606.331194303
0,0,31416,26871,AlPatch_1_1,89828.896526855,89828.983521453
0,0,31415,26871,AlPatch_1_1,89828.896526855,89828.997836811
0,0,31626,22170,AlPatch_2_0,95917.95469092,95918.041720181
0,0,31625,22170,AlPatch_2_0,95917.95469092,95918.041569333
0,0,32658,88,AlPatch_0_0,26702.669528236,26702.769060643
0,0,32657,88,AlPatch_0_0,26702.669528236,26702.764454008
10,0,31286,30807,AlPatch_0_0,20875.014907419,20875.105734627
10,0,31285,30807,AlPatch_0_0,20875.014907419,20875.105516068
10,0,31384,28918,AlPatch_1_1,19081.250537662,19081.351845356
10,0,31383,28918,AlPatch_1_1,19081.250537662,19081.34553508
10,0,31680,21251,AlPatch_2_0,23892.529470622,23892.630829941
10,0,31679,21251,AlPatch_2_0,23892.529470622,23892.622379732
10,0,31804,18355,AlPatch_2_1,692.65042034514,692.74810969016
10,0,31803,18355,AlPatch_2_1,692.65042034514,692.73625733536
10,0,31858,17680,AlPatch_2_0,5038.5093804437,5038.6026076645
10,0,31857,17680,AlPatch_2_0,5038.5093804437,5038.6036166066
10,0,31872,17347,AlPatch_1_0,747.37603339093,747.46299058675
10,0,31871,17347,AlPatch_1_0,747.37603339093,747.47771298233
10,0,31950,15648,AlPatch_2_0,11232.250722505,11232.348622955
10,0,31949,15648,AlPatch_2_0,11232.250722505,11232.346881503
10,0,32368,6336,AlPatch_1_0,8545.8797538468,8545.9719494817
10,0,32367,6336,AlPatch_1_0,8545.8797538468,8545.9686385829
11,0,31444,26928,AlPatch_1_0,10206.587224076,10206.681894306
11,0,31443,26928,AlPatch_1_0,10206.587224076,10206.679393455
11,0,31598,23654,AlPatch_0_0,141896.35147048,141896.43854576
11,0,31597,23654,AlPatch_0_0,141896.35147048,141896.45579681
11,0,31918,17661,AlPatch_1_0,93911.920031677,93912.00951364
11,0,31917,17661,AlPatch_1_0,93911.920031677,93912.013162613
11,0,32452,6660,AlPatch_1_1,92636.357313875,92636.460489782
11,0,32451,6660,AlPatch_1_1,92636.357313875,92636.446204125
11,0,32486,6194,AlPatch_0_0,2768.2272824894,2768.319990948
11,0,32485,6194,AlPatch_0_0,2768.2272824894,2768.3253405182
12,0,31288,30484,AlPatch_0_1,32256.438576733,32256.525457408
12,0,31287,30484,AlPatch_0_1,32256.438576733,32256.537734233
12,0,31432,27211,AlPatch_2_1,22075.11671986,22075.205362648
12,0,31431,27211,AlPatch_2_1,22075.11671986,22075.206570413
12,0,32728,21,AlPatch_2_1,110156.02177222,110156.10898267
12,0,32727,21,AlPatch_2_1,110156.02177222,110156.10980452
13,0,31278,30675,AlPatch_0_0,19297.118357938,19297.210360708
13,0,31277,30675,AlPatch_0_0,19297.118357938,19297.20591926
13,0,31302,29966,AlPatch_1_0,7168.5580759194,7168.6440627481
13,0,31301,29966,AlPatch_1_0,7168.5580759194,7168.6602420211
13,0,31376,28255,AlPatch_0_1,33980.114492027,33980.206829425
13,0,31375,28255,AlPatch_0_1,33980.114492027,33980.206925433
13,0,31632,23211,AlPatch_1_1,43625.101195417,43625.20196127
13,0,31631,23211,AlPatch_1_1,43625.101195417,43625.19117724
13,0,31782,20003,AlPatch_2_1,17590.787832648,17590.88536803
13,0,31781,20003,AlPatch_2_1,17590.787832648,17590.884029616
13,0,31794,19847,AlPatch_0_0,30222.341121487,30222.431032562
13,0,31793,19847,AlPatch_0_0,30222.341121487,30222.431493568
13,0,31938,17182,AlPatch_1_0,55994.01781054,55994.116367014
13,0,31937,17182,AlPatch_1_0,55994.01781054,55994.108336351
13,0,31942,17168,AlPatch_2_1,19091.599449459,19091.69342058
13,0,31941,17168,AlPatch_2_1,19091.599449459,19091.69426278
13,0,32396,7454,AlPatch_2_0,41869.745907919,41869.852919215
13,0,32395,7454,AlPatch_2_0,41869.745907919,41869.831851955
