Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,31516,26359,AlPatch_2_0,4863.6504565264,4863.7451034512
0,31515,26359,AlPatch_2_0,4863.6504565264,4863.7457333356
0,31572,25231,AlPatch_0_1,175732.21155606,175732.30746162
0,31571,25231,AlPatch_0_1,175732.21155606,175732.31065769
0,31798,20181,AlPatch_0_0,4143.2616223967,4143.3636401225
0,31797,20181,AlPatch_0_0,4143.2616223967,4143.3535490245
0,32052,14630,AlPatch_2_0,22195.705548557,22195.807635015
0,32051,14630,AlPatch_2_0,22195.705548557,22195.80776607
0,32322,8586,AlPatch_2_0,6439.6372642425,6439.7371566767
0,32321,8586,AlPatch_2_0,6439.6372642425,6439.7281174075
0,32564,3588,AlPatch_1_0,119267.11806771,119267.20603741
0,32563,3588,AlPatch_1_0,119267.11806771,119267.20629013
0,32598,3070,AlPatch_0_1,9432.6206272388,9432.720439106
0,32597,3070,AlPatch_0_1,9432.6206272388,9432.7095454767
