Job,Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,0,2000354,1977184,AlPatch_0_0,19444.39957729,19444.496507357
0,0,2000353,1977184,AlPatch_0_0,19444.39957729,19444.491361398
0,0,2000566,1966196,AlPatch_2_0,18187.877315192,18187.96447014
0,0,2000565,1966196,AlPatch_2_0,18187.877315192,18187.965377302
0,0,2000720,1955706,AlPatch_1_1,8697.2727940933,8697.3701246067
0,0,2000719,1955706,AlPatch_1_1,8697.2727940933,8697.3687941111
0,0,2000730,1955311,AlPatch_1_0,11891.179480239,11891.265412522
0,0,2000729,1955311,AlPatch_1_0,11891.179480239,11891.269359008
0,0,2000978,1942737,AlPatch_1_1,5232.7214468012,5232.8128421348
0,0,2000977,1942737,AlPatch_1_1,5232.7214468012,5232.8124259964
0,0,2000998,1941632,AlPatch_1_0,869.81374225131,869.91571896879
0,0,2000997,1941632,AlPatch_1_0,869.81374225131,869.91105966324
0,0,2001258,1926599,AlPatch_2_1,2692.9221760252,2693.0206178555
0,0,2001257,1926599,AlPatch_2_1,2692.9221760252,2693.0227063853
0,0,2001312,1923227,AlPatch_2_0,459.9647174637,460.0517988843
0,0,2001311,1923227,AlPatch_2_0,459.9647174637,460.05947161792
0,0,2001678,1899558,AlPatch_2_0,2010.6521372958,2010.7558132205
0,0,2001677,1899558,AlPatch_2_0,2010.6521372958,2010.7512203452
0,0,2001798,1891760,AlPatch_2_0,1507.4534037738,1507.5393414534
0,0,2001797,1891760,AlPatch_2_0,1507.4534037738,1507.5585927699
0,0,2002314,1859927,AlPatch_2_0,2536.0602457904,2536.1629501566
0,0,2002313,1859927,AlPatch_2_0,2536.0602457904,2536.1496458122
0,0,2003018,1817328,AlPatch_0_1,9022.5648626999,9022.6599174178
0,0,2003017,1817328,AlPatch_0_1,9022.5648626999,9022.6580101537
0,0,2003332,1800821,AlPatch_2_1,8904.9450449867,8905.0402258635
0,0,2003331,1800821,AlPatch_2_1,8904.9450449867,8905.0401266369
0,0,2003538,1789029,AlPatch_1_0,9521.3919329201,9521.4829457062
0,0,2003537,1789029,AlPatch_1_0,9521.3919329201,9521.4860359236
0,0,2003580,1786934,AlPatch_1_0,3763.3686972891,3763.4632263522
0,0,2003579,1786934,AlPatch_1_0,3763.3686972891,3763.4646209249
0,0,2003666,1781502,AlPatch_2_1,3716.0594114401,3716.1488901722
0,0,2003665,1781502,AlPatch_2_1,3716.0594114401,3716.1487725831
0,0,2003762,1775998,AlPatch_2_0,10933.600948011,10933.688141965
0,0,2003761,1775998,AlPatch_2_0,10933.600948011,10933.687642943
0,0,2003796,1774088,AlPatch_0_0,8818.4228532541,8818.5116091409
0,0,2003795,1774088,AlPatch_0_0,8818.4228532541,8818.523271118
0,0,2004026,1760864,AlPatch_1_0,6333.9685901312,6334.055342912
0,0,2004025,1760864,AlPatch_1_0,6333.9685901312,6334.0549601077
