Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,2000102,1993854,AlPatch_0_0,10288.183562328,10288.289941256
0,2000101,1993854,AlPatch_0_0,10288.183562328,10288.275136646
0,2000672,1961999,AlPatch_0_0,15200.086477287,15200.175485617
0,2000671,1961999,AlPatch_0_0,15200.086477287,15200.182687367
0,2000696,1960526,AlPatch_0_0,15047.893637864,15047.986568454
0,2000695,1960526,AlPatch_0_0,15047.893637864,15047.988365562
0,2001062,1937370,AlPatch_2_1,1445.3384179098,1445.4287011777
0,2001061,1937370,AlPatch_2_1,1445.3384179098,1445.4291526004
0,2001098,1935238,AlPatch_1_1,1512.2037888899,1512.2973139903
0,2001097,1935238,AlPatch_1_1,1512.2037888899,1512.2893326011
0,2001204,1929154,AlPatch_2_0,1927.2440183592,1927.3452667842
0,2001203,1929154,AlPatch_2_0,1927.2440183592,1927.3411534768
0,2001292,1924168,AlPatch_1_0,2115.1116874121,2115.1996064768
0,2001291,1924168,AlPatch_1_0,2115.1116874121,2115.1998050241
0,2001682,1902349,AlPatch_0_1,7947.9635751701,7948.0530717484
0,2001681,1902349,AlPatch_0_1,7947.9635751701,7948.0602189941
0,2001914,1888484,AlPatch_2_0,2159.7861040204,2159.8764320645
0,2001913,1888484,AlPatch_2_0,2159.7861040204,2159.8788319162
0,2001934,1887366,AlPatch_2_1,1588.2763006904,1588.376415106
0,2001933,1887366,AlPatch_2_1,1588.2763006904,1588.3642288517
0,2002004,1883642,AlPatch_2_0,261.49864841659,261.59582915429
0,2002003,1883642,AlPatch_2_0,261.49864841659,261.6006974742
0,2002274,1868464,AlPatch_1_0,2941.3879070501,2941.4737483414
0,2002273,1868464,AlPatch_1_0,2941.3879070501,2941.4733716682
0,2002318,1866646,AlPatch_2_0,469.14223345618,469.23607300718
0,2002317,1866646,AlPatch_2_0,469.14223345618,469.23763392507
0,2002330,1866135,AlPatch_0_1,14434.31925603,14434.409943633
0,2002329,1866135,AlPatch_0_1,14434.31925603,14434.417264908
0,2002934,1831848,AlPatch_1_0,2566.9398453432,2567.026893339
0,2002933,1831848,AlPatch_1_0,2566.9398453432,2567.0268671818
