Event,Track,Parent,Patch,Creation Time [ns],Death Time [ns]
0,250060,243688,AlPatch_2_0,582.07622169495,582.17690809823
0,250059,243688,AlPatch_2_0,582.07622169495,582.17050080697
0,250380,208983,AlPatch_2_1,1205.5242385746,1205.6160820227
0,250379,208983,AlPatch_2_1,1205.5242385746,1205.6122448815
0,250768,165003,AlPatch_2_0,257.00837180092,257.10296974557
0,250767,165003,AlPatch_2_0,257.00837180092,257.10122772356
0,251118,125797,AlPatch_2_0,456.82964871842,456.91848617531
0,251117,125797,AlPatch_2_0,456.82964871842,456.91946236631
0,251420,95108,AlPatch_1_0,1256.6203665474,1256.718673521
0,251419,95108,AlPatch_1_0,1256.6203665474,1256.7178534996
0,251698,68433,AlPatch_1_0,2231.2540788089,2231.3398028991
0,251697,68433,AlPatch_1_0,2231.2540788089,2231.3399226787
0,251804,56164,AlPatch_0_1,9085.4009190648,9085.4929168704
0,251803,56164,AlPatch_0_1,9085.4009190648,9085.4931550834
0,252030,31710,AlPatch_1_1,1445.5431439468,1445.6303408003
0,252029,31710,AlPatch_1_1,1445.5431439468,1445.6440155668
0,252206,13534,AlPatch_2_0,1722.9435824221,1723.0304360897
0,252205,13534,AlPatch_2_0,1722.9435824221,1723.046065888
